casenumber,counts,location,month,offense_desc,reported_date,reporting_officer,statute_code,statute_desc,year,hour,minute,day,lon,lat
2018-00006612,1,132 Warrington St,1,Disorderly Conduct,2018-01-19 16:41:00,Central Station,11-45-1,DISORDERLY CONDUCT,2018,16,41,19,-71.4176081,41.7949854
2018-00006667,0,528 N  Main St,1,Lost Article,2018-01-19 19:30:00,Central Station,Not Used,No violations,2018,19,30,19,-71.41015136715859,41.835709618399896
2018-00006569,0,64 Dartmouth Ave,1,Missing Persons,2018-01-19 15:04:00,Central Station,Not Used,No violations,2018,15,4,19,-71.4230918,41.80828320000001
2018-00006633,1,262 Chad Brown St,1,Vandalism,2018-01-19 17:35:00,TMiller,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,2018,17,35,19,-71.4233770612245,41.840956346938796
2018-00006206,1,84 Melrose St,1,Burglary,2018-01-18 14:30:00,ITavarez,11-8-1.1,ATTEMPTED BREAKING AND ENTERING,2018,14,30,18,-71.42274040000002,41.7986907
2018-00004843,1,35 Oxford St,1,Larceny from Building,2018-01-14 11:06:34,ADeschamps,11-41-1,LARCENY/O $1500 - FROM BLD,2018,11,6,14,-71.4037841,41.8045687
2018-00011336,1,Empire St At Fountain St,2,RI Statute Violation,2018-02-01 11:54:00,RChin,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,2018,11,54,1,,
2018-00018957,1,51 Silver Spring St,2,"Larceny, Other",2018-02-22 14:30:00,TManzotti,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2018,14,30,22,-71.416108,41.8455436
2017-00500135,1,296 Benefit St,10,"Larceny, Other",2017-10-20 01:50:56,GPaolo,11-41-1,LARCENY/U $1500 - OTH LAR,2017,1,50,20,-71.40545300000002,41.824202818181796
2017-00122640,1,Broad St At Potters Ave,11,Traffic Violation,2017-11-21 16:00:00,KMatsumoto,31-22-22(g),No seat belt - Operator,2017,16,0,21,,
2017-00122595,1,6 Providence Pl,11,"Larceny, Shoplifting",2017-11-21 14:06:19,TRose,11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,2017,14,6,21,-71.4223045128205,41.8286472564103
2017-00122765,1,Broad St At Potters Ave,11,Traffic Violation,2017-11-21 17:30:00,KMatsumoto,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017,17,30,21,,
2018-00011303,1,148 W River St,2,Vandalism,2018-02-01 08:50:00,MMoonan,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,8,50,1,-71.4133023421053,41.84398622368421
2017-00116138,1,58 Weybosset St,11,Larceny from Building,2017-11-04 04:24:00,NCruz,11-41-1,LARCENY/U $1500 - FROM BLD,2017,4,24,4,-71.4096037185388,41.82381705
2018-00022825,1,20 Providence Pl,3,Larceny from Building,2018-03-04 12:00:00,RChin,11-41-1,LARCENY/U $1500 - FROM BLD,2018,12,0,4,-71.42245994871791,41.828675974359
2018-00011404,1,582 Elmwood Ave,2,Vandalism,2018-02-01 15:51:00,ALevesque,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,15,51,1,-71.42492170000001,41.7964532
2017-00131392,1,22 Handy St,12,"Larceny, Other",2017-12-15 18:22:25,MCifuentes,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2017,18,22,15,-71.4482901,41.82377260000001
2017-00129768,1,Chester Ave At Taylor St,12,"Larceny, Other",2017-12-11 11:59:00,MMaycock,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2017,11,59,11,,
2018-00011410,1,291 Thayer St,2,"Assault, Aggravated",2018-02-01 16:07:00,NField,11-44-23,THROWING OBJECTS POLICE/FIRE PERSONS/VEHICLE - AGG ASSAULT,2018,16,7,1,-71.40061329999997,41.8299075
2017-00133369,1,1053 Broad St,12,Motor Vehicle Theft,2017-12-21 12:55:00,ECuri,11-41-1,LARCENY/O $1500 - AUTO THEFT,2017,12,55,21,-71.405884,41.791031
2018-00011315,0,90 Lynch St,2,Missing Persons,2018-02-01 09:41:16,DHull,Not Used,No violations,2018,9,41,1,-71.45244759999999,41.8277573
2018-00000168,1,850 Manton Ave,1,Motor Vehicle Theft,2018-01-01 10:52:00,JIannucci,11-41-1,LARCENY/O $1500 - AUTO THEFT,2018,10,52,1,-71.4655594725393,41.8332507192951
2017-00133142,1,1010 Chalkstone Ave,12,Motor Vehicle Theft,2017-12-20 19:30:00,GScarcello,11-41-1,LARCENY/O $1500 - AUTO THEFT,2017,19,30,20,-71.4411525,41.8320908
2018-00006578,1,99 Hartford Ave,1,Larceny from Motor Vehicle,2018-01-19 15:14:00,MCifuentes,11-41-1,LARCENY/U $1500 - FROM MV,2018,15,14,19,-71.514393,41.828134999999996
2018-00011392,1,306 Cranston St,2,"Assault, Simple",2018-02-01 15:21:00,TSavard,11-5-3,SIMPLE ASSAULT OR BATTERY,2018,15,21,1,-71.42888525,41.81286125
2018-00006159,0,540 Huntington Ave,1,Lost Article,2018-01-18 12:23:36,TGomes,Not Used,No violations,2018,12,23,18,-71.4350930204082,41.8022829591837
2018-00006557,1,36 Lawrence St,1,Disorderly Conduct,2018-01-19 14:18:00,Central Station,11-45-1,DISORDERLY CONDUCT,2018,14,18,19,-71.4558475,41.8119526
2018-00006751,1,Greeley St At Opper St,1,Traffic Violation,2018-01-20 00:32:00,SCampbell,31-3-1,Operation of Unregistered Vehicle,2018,0,32,20,,
2018-00006048,1,2 Louis Ave,1,RI Statute Violation,2018-01-18 01:38:00,EEspinal,12-29-4,VIOLATION -NO CONTACT ORDER,2018,1,38,18,-71.42604659999998,41.79065070000001
2018-00006718,1,Broad St At Portland St,1,Drug Offenses,2018-01-19 23:04:00,RFoley,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,2018,23,4,19,,
2018-00006701,1,Benefit St At George St,1,Traffic Violation,2018-01-19 21:57:52,NField,31-8-3,Parking or MV Violation,2018,21,57,19,,
2018-00006754,1,301 Cranston St,1,Warrant\Capias,2018-01-20 00:35:00,JPirolli,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,2018,0,35,20,-71.4289455,41.8134113
2018-00006754,1,301 Cranston St,1,Warrant\Capias,2018-01-20 00:35:00,JPirolli,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,2018,0,35,20,-71.4305207,41.8126065
2018-00030768,1,Friendship St At Dudley St,3,Traffic Violation,2018-03-27 16:30:00,AFrancis,31-11-18.1,"Driving after Denial, Revocation or Suspension for Misd.",2018,16,30,27,,
2018-00500070,1,600 Mt Pleasant Ave,1,Larceny from Motor Vehicle,2018-01-19 12:39:18,SPartridge,11-41-1,LARCENY/U $1500 - FROM MV,2018,12,39,19,-71.4609387605599,41.84215475
2018-00006638,1,71 Babcock St,1,RI Statute Violation,2018-01-19 17:53:00,EGreene,21-28-4.08,CONTROLLED SUBSTANCE CONSPIRACY,2018,17,53,19,-71.4079503333333,41.7893355
2018-00006718,1,Broad St At Portland St,1,Weapons,2018-01-19 23:04:00,RFoley,11-47-42,WEAPONS OTHER THAN FIREARMS PROHIBITED,2018,23,4,19,,
2018-00006496,1,530 N  Main St,1,"Larceny, Other",2018-01-19 11:05:00,Central Station,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2018,11,5,19,-71.4101477306272,41.8357378746666
2018-00006491,0,721 Chalkstone Ave,1,Juvenile Matter,2018-01-19 10:33:00,JAndrade,Not Used,No violations,2018,10,33,19,-71.4315368,41.834612
2018-00006701,1,Benefit St At George St,1,Traffic Violation,2018-01-19 21:57:52,NField,31-3-1,Parking or MV Violation,2018,21,57,19,,
2018-00006638,1,71 Babcock St,1,Weapons,2018-01-19 17:53:00,EGreene,11-47-32,POSSESSION OF AMMUNITION BY MINOR,2018,17,53,19,-71.4079503333333,41.7893355
2018-00006638,3,71 Babcock St,1,Drug Offenses,2018-01-19 17:53:00,EGreene,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,2018,17,53,19,-71.4079503333333,41.7893355
2018-00006721,0,N. Main St ,1,Property Damage,2018-01-19 23:16:00,Central Station,Not Used,No violations,2018,23,16,19,-71.410156,41.830139
2018-00006554,1,51 Silver Spring St,1,"Larceny, Shoplifting",2018-01-19 14:05:00,CRodriguez,11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,2018,14,5,19,-71.416108,41.8455436
2018-00006714,0,136 Knight St,1,Missing Persons,2018-01-19 22:42:00,Central Station,Not Used,No violations,2018,22,42,19,-71.43037629999998,41.8212509
2018-00006508,1,1 Providence Pl,1,"Fraud, Swindle",2018-01-19 11:31:00,RChin,11-41-4,OBT/ MONEY-FALSE PRETENSE/PERSONATION/0 $1500 - FALSE PRETENSE,2018,11,31,19,-71.4166245,41.827677
2018-00006481,0,191 Webster Ave,1,Juvenile Matter,2018-01-19 10:01:21,MChasse,Not Used,No violations,2018,10,1,19,-71.44965040000002,41.8101949
2018-00500384,1,7 Ledge St,3,"Larceny, Other",2018-03-27 11:32:28,CVieira,11-41-1,LARCENY/U $1500 - OTH LAR,2018,11,32,27,-71.4200467991261,41.8531376582315
2018-00011354,1,993 Manton Ave,2,Drug Offenses,2018-02-01 13:00:00,AKanelopoulos,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,2018,13,0,1,-71.47013855046441,41.8331710654176
2018-00011380,0,424 Eaton St,2,Missing Persons,2018-02-01 14:51:00,Central Station,Not Used,No violations,2018,14,51,1,-71.44286059999997,41.84317120000001
2018-00500136,1,188 Baker St,2,Vandalism,2018-02-01 09:34:36,SPartridge,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,9,34,1,-71.4048954,41.7923954
2018-00011321,0,Point St Bridge ,2,Article Found,2018-02-01 10:38:41,TRose,Not Used,No violations,2018,10,38,1,-71.4028079,41.8183598
2018-00011354,1,993 Manton Ave,2,RI Statute Violation,2018-02-01 13:00:00,AKanelopoulos,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,2018,13,0,1,-71.47013855046441,41.8331710654176
2018-00019025,0,1 Providence Pl,2,Lost Article,2018-02-22 17:06:00,Central Station,Not Used,No violations,2018,17,6,22,-71.4166245,41.827677
2018-00018920,1,190 Chatham St,2,"Fraud, Swindle",2018-02-22 12:55:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2018,12,55,22,-71.41543929999997,41.8513922
2018-00030788,1,Potters Ave At Niagara St,3,Warrant\Capias,2018-03-27 17:06:00,ASchneider,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,2018,17,6,27,,
2018-00030903,0,28 Sims Ave,3,Request for Assistance,2018-03-27 23:28:00,MLuke,Not Used,No violations,2018,23,28,27,-71.4324957,41.8254548
2018-00022614,1,N  Main St At Smith St,3,Vandalism,2018-03-03 23:06:00,Central Station,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,23,6,3,,
2017-00124432,1,27 Middle Dr,11,"Larceny, Other",2017-11-26 17:52:00,TMiller,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2017,17,52,26,-71.4438720539387,41.8522050853105
2017-00108517,1,14 Benedict St,10,Larceny from Building,2017-10-16 14:12:00,TSavard,11-41-1,LARCENY/O $1500 - FROM BLD,2017,14,12,16,-71.43296540000001,41.8038083
2018-00010886,1,99 Kennedy Plz,1,"Assault, Simple",2018-01-31 07:15:00,SMurnighan,11-5-3,SIMPLE ASSAULT OR BATTERY,2018,7,15,31,-71.4096412,41.82663820000001
2018-00018809,0,15 Clematis St,2,Houese Fire,2018-02-22 02:43:13,LTaveras,Not Used,No violations,2018,2,43,22,-71.4458040677135,41.83317694349621
2018-00022422,1,164 Summit Ave,3,"Assault, Simple",2018-03-03 13:25:00,AHampton,11-5-3,SIMPLE ASSAULT OR BATTERY,2018,13,25,3,-71.3984379,41.8520561
2018-00500282,1,92 Doyle Ave,3,"Fraud, Credit Card",2018-03-05 09:33:27,CLourenco,11-49-4,FRAUDULENT USE OF CREDIT CARDS,2018,9,33,5,-71.40502581648859,41.8387849429939
2018-00030769,1,Elmwood Ave At Redwing St,3,Traffic Violation,2018-03-27 16:30:12,JDeschamps,31-11-18,"Driving after Denial, Suspension or Revocation of License",2018,16,30,27,,
2018-00000535,2,4 Osborn St,1,Drug Offenses,2018-01-02 15:00:00,AKanelopoulos,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,2018,15,0,2,-71.42495629999998,41.8357501
2018-00030619,1,41 Ontario St,3,Disorderly Conduct,2018-03-27 05:03:00,MPena,11-45-1,DISORDERLY CONDUCT,2018,5,3,27,-71.4191539331446,41.8000408966983
2018-00018893,1,47 Union Ave,2,"Larceny, Other",2018-02-22 11:38:00,Central Station,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2018,11,38,22,-71.43696369999998,41.8099107
2018-00018897,1,9 Bodell Ave,2,"Assault, Simple",2018-02-22 11:46:00,IYousif,11-5-3,SIMPLE ASSAULT/BATTERY,2018,11,46,22,-71.45342,41.817004
2017-00133352,1,38 Ford St,12,Motor Vehicle Theft,2017-12-21 11:47:00,ITavarez,11-41-1,LARCENY/O $1500 - AUTO THEFT,2017,11,47,21,-71.4296544,41.8088946
2018-00023108,0,174 Potters Ave,3,Juvenile Matter,2018-03-05 09:45:14,JDalton,Not Used,No violations,2018,9,45,5,-71.4132209,41.8041685
2017-00500167,1,20 Providence Pl,10,"Larceny, Other",2017-10-27 13:51:00,SPartridge,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2017,13,51,27,-71.42245994871791,41.828675974359
2017-00102600,1,274 Union Ave,10,Larceny from Motor Vehicle,2017-10-02 06:24:00,MCamardo,11-41-1,LARCENY/O $1500 - FROM MV,2017,6,24,2,-71.44606,41.8070078
2017-00104786,1,17 Tanner St,10,"Larceny, Other",2017-10-07 09:31:00,PCaminero,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2017,9,31,7,-71.416302855853,41.8116475277891
2018-00022932,1,470 Lloyd Ave,3,Burglary,2018-03-04 17:52:20,VPazzetta,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2018,17,52,4,-71.3886571,41.8348092
2017-00116485,1,Chad Brown Street ,11,Liquor Law Violations,2017-11-05 00:33:00,JLanier,3-8-10,POSSESSION OF BEVERAGE-UNDERAGE PERSONS,2017,0,33,5,-71.42670129999998,41.83889600000001
2017-00110673,1,1266 Broad St,10,Motor Vehicle Theft,2017-10-22 02:37:00,JCascione,11-41-1,LARCENY/O $1500 - AUTO THEFT,2017,2,37,22,-71.40656073469391,41.7915539897959
2018-00023228,0,258 Thayer St,3,Request for Assistance,2018-03-05 15:58:00,Central Station,Not Used,No violations,2018,15,58,5,-71.400913,41.829281
2018-00022834,1,Cranston St At Diamond St,3,Traffic Violation,2018-03-04 11:56:00,KMatsumoto,31-11-18,"Driving after Denial, Suspension or Revocation of License",2018,11,56,4,,
2017-00124969,1,45 Pleasant Valley Pky,11,"Larceny, Other",2017-11-28 10:51:00,WDickie,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2017,10,51,28,-71.4281753771083,41.831088288277705
2018-00030845,1,30 Yarmouth St,3,"Fraud, Swindle",2018-03-27 19:10:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2018,19,10,27,-71.4263982916667,41.79230725
2017-00116483,1,26 Ames St,11,Larceny from Motor Vehicle,2017-11-05 00:21:00,MGuerra,11-41-1,LARCENY/O $1500 - FROM MV,2017,0,21,5,-71.43108640000001,41.8244912
2017-00119822,1,464 Broad St,11,Motor Vehicle Theft,2017-11-14 09:56:00,ITavarez,11-41-1,LARCENY/O $1500 - AUTO THEFT,2017,9,56,14,-71.396567,41.912592
2018-00500289,1,885 Boulevard ,3,"Larceny, Other",2018-03-04 17:30:04,CSical,11-41-1,LARCENY/U $1500 - OTH LAR,2018,17,30,4,-71.296913,41.508153
2017-00106990,1,319 Douglas Ave,10,"Larceny, Other",2017-10-12 19:35:49,TManzotti,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2017,19,35,12,-71.42568709999998,41.8394984
2018-00023198,1,166 Valley St,3,"Fraud, Swindle",2018-03-05 14:51:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2018,14,51,5,-71.4413075,41.8211331
2017-00500141,1,490 Angell St,10,"Larceny, Other",2017-10-23 11:19:38,SPartridge,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2017,11,19,23,-71.388369,41.8304568
2017-00127134,1,615 Charles St,12,Larceny from Building,2017-12-03 21:47:00,JLopes,11-41-1,LARCENY/U $1500 - FROM BLD,2017,21,47,3,-71.4205577,41.8532977
2018-00006953,1,301 Cranston St,1,Municipal Code Violation,2018-01-20 16:51:00,TLambert,Sec. 23-32.  ," Possession ,of alcoholic beverages on any public street, sidewalk, licensed parking lot, way or grounds owned by city.",2018,16,51,20,-71.4289455,41.8134113
2018-00006953,1,301 Cranston St,1,Municipal Code Violation,2018-01-20 16:51:00,TLambert,Sec. 23-32.  ," Possession ,of alcoholic beverages on any public street, sidewalk, licensed parking lot, way or grounds owned by city.",2018,16,51,20,-71.4305207,41.8126065
2017-00116262,1,1157 Eddy St,11,Disorderly Conduct,2017-11-04 14:29:44,NDarling,11-45-1,DISORDERLY CONDUCT,2017,14,29,4,-71.40438085714291,41.7942907142857
2018-00023387,1,333 Douglas Ave,3,Traffic Violation,2018-03-06 01:18:00,KRosado,31-11-18,"Driving after Denial, Suspension or Revocation of License",2018,1,18,6,-71.42613759999998,41.839748
2018-00007145,1,28 Erastus St,1,Disorderly Conduct,2018-01-21 03:04:00,CBeach,11-45-1,DISORDERLY CONDUCT,2018,3,4,21,-71.4511386,41.8241644
2018-00007028,1,Webster Ave At Pocasset Ave,1,Traffic Violation,2018-01-20 20:02:00,TMiller,31-11-18,"Driving after Denial, Suspension or Revocation of License",2018,20,2,20,,
2018-00006835,1,11 Moorefield St,1,Larceny from Motor Vehicle,2018-01-20 08:07:00,JRodrigues,11-41-1,LARCENY/O $1500 - FROM MV,2018,8,7,20,-71.4570207,41.8072821
2018-00023275,0,48 Wesleyan Ave,3,Missing Persons,2018-03-05 18:04:00,ASchneider,Not Used,No violations,2018,18,4,5,-71.4195964,41.8076811
2017-00130060,1,939 Douglas Ave,12,Motor Vehicle Theft,2017-12-12 07:03:00,MMoonan,11-41-1,LARCENY/O $1500 - AUTO THEFT,2017,7,3,12,-71.43751429999998,41.8536621
2018-00030325,1,152 Almy St,3,Larceny from Motor Vehicle,2018-03-26 11:57:32,MCaraccia,11-41-1,LARCENY/O $1500 - FROM MV,2018,11,57,26,-71.4340239,41.8210744
2017-00107987,1,3 Regency Plz,10,Larceny from Motor Vehicle,2017-10-15 02:05:48,MDuffy,11-41-1,LARCENY/U $1500 - FROM MV,2017,2,5,15,,
2017-00114983,1,430 Charles St,11,Larceny from Motor Vehicle,2017-11-01 10:32:00,Central Station,11-41-1,LARCENY/O $1500 - FROM MV,2017,10,32,1,-71.41892390000002,41.8446055
2018-00030889,1,108 Butler Ave,3,Municipal Code Violation,2018-03-27 22:00:00,NField,Sec. 16-97. ,"Noise Control - Machinery, equipment, fans, and air conditioning.",2018,22,0,27,-71.3860863,41.827241
2017-00104353,1,159 Brook St,10,Larceny from Building,2017-10-06 11:48:48,BCorcoran,11-41-1,LARCENY/O $1500 - FROM BLD,2017,11,48,6,-71.3982354,41.8208865
2017-00115318,1,384 Orms St,11,Larceny from Motor Vehicle,2017-11-02 09:37:00,CRodriguez,11-41-1,LARCENY/O $1500 - FROM MV,2017,9,37,2,-71.4251873333333,41.833186333333295
2018-00011937,1,Kossuth St At Putnam St,2,Traffic Violation,2018-02-03 00:18:00,PCaminero,31-11-18,"Driving after Denial, Suspension or Revocation of License",2018,0,18,3,,
2017-00500040,1,153 Williams St,10,"Larceny, Other",2017-10-01 15:01:11,GPaolo,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2017,15,1,1,-71.3983745,41.8222838
2017-00131985,1,16 Chatham St,12,Larceny from Building,2017-12-17 11:08:00,Central Station,11-41-1,LARCENY/U $1500 - FROM BLD,2017,11,8,17,-71.4170616,41.84666710000001
2017-00111905,1,80 Curtis St,10,Larceny from Building,2017-10-25 11:13:00,AGonzalez,11-41-1,LARCENY/U $1500 - FROM BLD,2017,11,13,25,-71.4510534,41.8218995
2017-00108959,1,19 Barry Rd,10,Motor Vehicle Theft,2017-10-17 17:43:00,JDennis,11-41-1,LARCENY/O $1500 - AUTO THEFT,2017,17,43,17,-71.4520772591722,41.8179281840026
2017-00106980,1,1215 N  Main St,10,Larceny from Building,2017-10-12 19:05:00,EBreault,11-41-1,LARCENY/U $1500 - FROM BLD,2017,19,5,12,-71.4003527720765,41.854399185389
2018-00011833,0,181 Roosevelt St,2,Request for Assistance,2018-02-02 18:25:00,Central Station,Not Used,No violations,2018,18,25,2,-71.4507615370327,41.8110580070097
2018-00011635,0,676 Cranston St,2,Motor Vehicle Theft,2018-02-02 08:59:05,TGomes,Not Used,No violations,2018,8,59,2,-71.4366457,41.8056037
2018-00023286,0,64 Dartmouth Ave,3,Missing Persons,2018-03-05 18:49:00,Central Station,Not Used,No violations,2018,18,49,5,-71.4230918,41.80828320000001
2017-00134193,1,52 Edgemere Ave,12,"Larceny, Other",2017-12-23 19:44:00,MCamardo,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2017,19,44,23,-71.45808029999998,41.8244436
2017-00111918,1,1 Empire St,10,Larceny from Building,2017-10-25 12:02:00,Central Station,11-41-1,LARCENY/U $1500 - FROM BLD,2017,12,2,25,-71.358113,41.874453
2017-00122500,1,17 Gloucester St,11,Larceny from Motor Vehicle,2017-11-21 10:46:00,Central Station,11-41-1,LARCENY/U $1500 - FROM MV,2017,10,46,21,-71.43791800000002,41.8494342
2017-00500386,1,170 Ontario St,12,"Larceny, Other",2017-12-16 10:34:27,MCute,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2017,10,34,16,-71.42365500000002,41.7983005
2018-00019283,5,35 Oxford St,2,Vandalism,2018-02-23 11:52:46,KWigginton,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,11,52,23,-71.4037841,41.8045687
2018-00019594,1,Ceres St ,2,Warrant\Capias,2018-02-24 03:01:00,MRousseau,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,2018,3,1,24,-71.430275,41.845001
2018-00018955,1,308 Thayer St,2,"Assault, Simple",2018-02-22 14:54:35,VPazzetta,11-5-3,SIMPLE ASSAULT OR BATTERY,2018,14,54,22,-71.40105209090909,41.8303520909091
2017-00118819,1,24 Doyle Ave,11,Larceny from Building,2017-11-11 11:30:00,AHampton,11-41-1,LARCENY/U $1500 - FROM BLD,2017,11,30,11,-71.40823598642359,41.8384395950617
2017-00129113,1,111 Ledge St,12,Motor Vehicle Theft,2017-12-09 06:27:00,MMoonan,11-41-1,LARCENY/O $1500 - AUTO THEFT,2017,6,27,9,-71.4166716666667,41.8538215
2017-00132911,1,30 Barbara St,12,Motor Vehicle Theft,2017-12-20 04:40:00,MFadale,11-41-1,LARCENY/O $1500 - AUTO THEFT,2017,4,40,20,-71.45935190000002,41.820376
2018-00019394,1,Cranston St At Harrison St,2,Municipal Code Violation,2018-02-23 17:17:00,MSepe,Sec. 23-32.  ," Possession ,of alcoholic beverages on any public street, sidewalk, licensed parking lot, way or grounds owned by city.",2018,17,17,23,,
2017-00115537,1,548 Atwells Ave,11,"Larceny, Other",2017-11-02 18:53:09,JSalmeron,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2017,18,53,2,-71.43477705903379,41.8243111068188
2018-00022619,1,83 Opper St,3,Warrant\Capias,2018-03-03 23:16:00,SCampbell,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,2018,23,16,3,-71.4219283870968,41.85400858064522
2017-00500409,1,1 Providence Pl,12,"Larceny, Other",2017-12-23 07:59:53,RPapa,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2017,7,59,23,-71.4166245,41.827677
2018-00022638,1,53 Ashburton St,3,Vandalism,2018-03-04 00:05:00,TCalandra,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,0,5,4,-71.41545651903891,41.8379392412385
2017-00127470,1,51 Silver Spring St,12,"Larceny, Other",2017-12-04 21:01:00,DJohnson,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2017,21,1,4,-71.416108,41.8455436
2017-00116365,1,Elmwood Ave At Longfellow St,11,Traffic Violation,2017-11-04 17:25:00,KMatsumoto,31-16-5,Turn Signal Required,2017,17,25,4,,
2018-00011663,1,34 Home Ave,2,Weapons,2018-02-02 10:55:00,EGreene,11-47-5,POSS OF ARMS BY CONVICT IN CRIME OF VIOL/FUGITIVE,2018,10,55,2,-71.4454458,41.8335353
2018-00030536,1,177 N  Main St,3,Larceny from Motor Vehicle,2018-03-26 21:41:00,JSherman,11-41-1,LARCENY/U $1500 - FROM MV,2018,21,41,26,-71.4098078,41.82947755
2017-00115354,1,19 Barry Rd,11,"Larceny, Other",2017-11-02 11:13:00,Central Station,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2017,11,13,2,-71.4520772591722,41.8179281840026
2017-00116753,0,939 Douglas Ave,11,Missing Persons,2017-11-05 18:03:00,Central Station,Not Used,No violations,2017,18,3,5,-71.43751429999998,41.8536621
2017-00122876,1,430 Niantic Ave,11,Larceny from Motor Vehicle,2017-11-22 07:19:10,ZSilbert,11-41-1,LARCENY/O $1500 - FROM MV,2017,7,19,22,-71.4371844,41.7919458
2018-00012016,1,830 Chalkstone Ave,2,DUI,2018-02-03 03:41:00,KBarth-Cafaro,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),2018,3,41,3,-71.43222159999998,41.8322432
2018-00030765,1,160 Broad St,3,Drug Offenses,2018-03-27 16:00:00,AKanelopoulos,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,2018,16,0,27,-71.4171575,41.8166844
2018-00030765,1,160 Broad St,3,Drug Offenses,2018-03-27 16:00:00,AKanelopoulos,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,2018,16,0,27,-71.4171575,41.8166844
2018-00030765,1,160 Broad St,3,Drug Offenses,2018-03-27 16:00:00,AKanelopoulos,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,2018,16,0,27,-71.4171575,41.8166844
2018-00007050,0,939 Douglas Ave,1,Missing Persons,2018-01-20 21:54:00,Central Station,Not Used,No violations,2018,21,54,20,-71.43751429999998,41.8536621
2017-00132998,1,15 Elbow St,12,Larceny from Motor Vehicle,2017-12-20 12:59:48,TRose,11-41-1,LARCENY/U $1500 - FROM MV,2017,12,59,20,-71.4102155810217,41.81799416113322
2017-00107688,1,51 Silver Spring St,10,Larceny from Building,2017-10-14 15:04:00,MMoonan,11-41-1,LARCENY/U $1500 - FROM BLD,2017,15,4,14,-71.416108,41.8455436
2017-00128076,1,50 Pocasset Ave,12,"Larceny, Other",2017-12-06 16:14:23,YGonzalez,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2017,16,14,6,-71.4493035,41.8122591
2017-00127122,1,861 Broad St,12,Larceny from Motor Vehicle,2017-12-03 20:53:00,DPfeiffer,11-41-1,LARCENY/U $1500 - FROM MV,2017,20,53,3,-71.405884,41.791031
2018-00030267,1,18 Tobey St,3,Burglary,2018-03-26 08:46:07,MCaraccia,11-8-1,BURGLARY,2018,8,46,26,-71.43540829999998,41.819964
2018-00022804,0,55 Congress Ave,3,Violation of Restraining Order,2018-03-04 11:12:10,KWigginton,Not Used,No violations,2018,11,12,4,-71.4203093104,41.8004215732988
